policy,replicate,budget,timestep,cumulative_regret
spruce,0,160,41,13.225000000000001
spruce,0,160,42,13.900000000000002
spruce,0,160,43,14.200000000000003
spruce,0,160,44,14.200000000000003
spruce,0,160,45,14.575000000000003
spruce,0,160,46,14.925000000000002
spruce,0,160,47,15.275000000000002
spruce,0,160,48,15.550000000000002
spruce,0,160,49,15.950000000000003
spruce,0,160,50,16.375000000000004
spruce,0,160,51,16.825000000000003
spruce,0,160,52,17.150000000000002
spruce,0,160,53,17.325000000000003
spruce,0,160,54,17.700000000000003
spruce,0,160,55,18.050000000000004
spruce,0,160,56,18.050000000000004
spruce,0,160,57,18.375000000000004
spruce,0,160,58,18.825000000000003
spruce,0,160,59,19.050000000000004
spruce,0,160,60,19.400000000000006
spruce,0,160,61,20.075000000000006
spruce,0,160,62,20.400000000000006
spruce,0,160,63,20.575000000000006
spruce,0,160,64,20.950000000000006
spruce,0,160,65,21.225000000000005
spruce,0,160,66,21.575000000000006
spruce,0,160,67,21.575000000000006
spruce,0,160,68,22.250000000000007
spruce,0,160,69,22.575000000000006
spruce,0,160,70,22.750000000000007
spruce,0,160,71,23.125000000000007
spruce,0,160,72,23.450000000000006
spruce,0,160,73,23.900000000000006
spruce,0,160,74,24.125000000000007
spruce,0,160,75,24.125000000000007
spruce,0,160,76,24.800000000000008
spruce,0,160,77,25.000000000000007
spruce,0,160,78,25.400000000000006
spruce,0,160,79,25.700000000000006
spruce,0,160,80,26.075000000000006
spruce,0,160,81,26.475000000000005
spruce,0,160,82,26.750000000000004
spruce,0,160,83,27.175000000000004
spruce,0,160,84,27.500000000000004
spruce,0,160,85,27.950000000000003
spruce,0,160,86,28.175000000000004
spruce,0,160,87,28.375000000000004
spruce,0,160,88,28.775000000000002
spruce,0,160,89,29.075000000000003
spruce,0,160,90,29.450000000000003
spruce,0,160,91,29.875000000000004
spruce,0,160,92,30.225000000000005
spruce,0,160,93,30.500000000000004
spruce,0,160,94,30.825000000000003
spruce,0,160,95,31.275000000000002
spruce,0,160,96,31.500000000000004
spruce,0,160,97,31.500000000000004
spruce,0,160,98,31.850000000000005
spruce,0,160,99,32.525000000000006
spruce,0,160,100,32.85000000000001
spruce,0,160,101,33.025000000000006
spruce,0,160,102,33.400000000000006
spruce,0,160,103,33.60000000000001
spruce,0,160,104,34.00000000000001
spruce,0,160,105,34.300000000000004
spruce,0,160,106,34.675000000000004
spruce,0,160,107,35.1
spruce,0,160,108,35.45
spruce,0,160,109,35.725
spruce,0,160,110,36.050000000000004
spruce,0,160,111,36.50000000000001
spruce,0,160,112,36.72500000000001
spruce,0,160,113,37.12500000000001
spruce,0,160,114,37.400000000000006
spruce,0,160,115,37.60000000000001
spruce,0,160,116,38.00000000000001
spruce,0,160,117,38.37500000000001
spruce,0,160,118,38.800000000000004
spruce,0,160,119,39.150000000000006
spruce,0,160,120,39.425000000000004
spruce,0,160,121,39.75000000000001
spruce,0,160,122,40.20000000000001
spruce,0,160,123,40.42500000000001
spruce,0,160,124,40.77500000000001
spruce,0,160,125,41.17500000000001
spruce,0,160,126,41.45000000000001
spruce,0,160,127,41.77500000000001
spruce,0,160,128,41.95000000000001
spruce,0,160,129,42.32500000000001
spruce,0,160,130,42.62500000000001
spruce,0,160,131,42.62500000000001
spruce,0,160,132,42.95000000000001
spruce,0,160,133,43.40000000000001
spruce,0,160,134,43.625000000000014
spruce,0,160,135,43.82500000000002
spruce,0,160,136,44.225000000000016
spruce,0,160,137,44.600000000000016
spruce,0,160,138,45.02500000000001
spruce,0,160,139,45.375000000000014
spruce,0,160,140,45.65000000000001
spruce,0,160,141,46.32500000000001
spruce,0,160,142,46.67500000000001
spruce,0,160,143,47.07500000000001
spruce,0,160,144,47.35000000000001
spruce,0,160,145,48.025000000000006
spruce,0,160,146,48.35000000000001
spruce,0,160,147,48.525000000000006
spruce,0,160,148,48.900000000000006
spruce,0,160,149,49.2
spruce,0,160,150,49.525000000000006
spruce,0,160,151,49.97500000000001
spruce,0,160,152,50.20000000000001
spruce,0,160,153,50.40000000000001
spruce,0,160,154,50.80000000000001
spruce,0,160,155,51.17500000000001
spruce,0,160,156,51.60000000000001
spruce,0,160,157,52.275000000000006
spruce,0,160,158,52.95
spruce,0,160,159,53.625
spruce,0,160,160,53.975
uniform,1,160,1,0.19999999999999996
uniform,1,160,2,0.5499999999999999
uniform,1,160,3,0.95
uniform,1,160,4,1.625
uniform,1,160,5,1.95
uniform,1,160,6,2.275
uniform,1,160,7,2.45
uniform,1,160,8,2.825
uniform,1,160,9,3.1
uniform,1,160,10,3.5500000000000003
uniform,1,160,11,3.8500000000000005
uniform,1,160,12,4.2250000000000005
uniform,1,160,13,4.625000000000001
uniform,1,160,14,4.900000000000001
uniform,1,160,15,5.250000000000001
uniform,1,160,16,5.675000000000001
uniform,1,160,17,5.9
uniform,1,160,18,5.9
uniform,1,160,19,6.1000000000000005
uniform,1,160,20,6.45
uniform,1,160,21,6.8500000000000005
uniform,1,160,22,7.525
uniform,1,160,23,7.8500000000000005
uniform,1,160,24,8.175
uniform,1,160,25,8.350000000000001
uniform,1,160,26,8.725000000000001
uniform,1,160,27,9.000000000000002
uniform,1,160,28,9.450000000000001
uniform,1,160,29,9.750000000000002
uniform,1,160,30,10.125000000000002
uniform,1,160,31,10.525000000000002
uniform,1,160,32,10.800000000000002
uniform,1,160,33,11.150000000000002
uniform,1,160,34,11.575000000000003
uniform,1,160,35,11.800000000000002
uniform,1,160,36,11.800000000000002
uniform,1,160,37,12.000000000000002
uniform,1,160,38,12.350000000000001
uniform,1,160,39,12.750000000000002
uniform,1,160,40,13.425000000000002
uniform,1,160,41,13.750000000000002
uniform,1,160,42,14.075000000000001
uniform,1,160,43,14.250000000000002
uniform,1,160,44,14.625000000000002
uniform,1,160,45,14.900000000000002
uniform,1,160,46,15.350000000000001
uniform,1,160,47,15.650000000000002
uniform,1,160,48,16.025000000000002
uniform,1,160,49,16.425
uniform,1,160,50,16.7
uniform,1,160,51,17.05
uniform,1,160,52,17.475
uniform,1,160,53,17.700000000000003
uniform,1,160,54,17.700000000000003
uniform,1,160,55,17.900000000000002
uniform,1,160,56,18.250000000000004
uniform,1,160,57,18.650000000000002
uniform,1,160,58,19.325000000000003
uniform,1,160,59,19.650000000000002
uniform,1,160,60,19.975
uniform,1,160,61,20.150000000000002
uniform,1,160,62,20.525000000000002
uniform,1,160,63,20.8
uniform,1,160,64,21.25
uniform,1,160,65,21.55
uniform,1,160,66,21.925
uniform,1,160,67,22.325
uniform,1,160,68,22.599999999999998
uniform,1,160,69,22.95
uniform,1,160,70,23.375
uniform,1,160,71,23.6
uniform,1,160,72,23.6
uniform,1,160,73,23.8
uniform,1,160,74,24.150000000000002
uniform,1,160,75,24.55
uniform,1,160,76,25.225
uniform,1,160,77,25.55
uniform,1,160,78,25.875
uniform,1,160,79,26.05
uniform,1,160,80,26.425
uniform,1,160,81,26.7
uniform,1,160,82,27.15
uniform,1,160,83,27.45
uniform,1,160,84,27.825
uniform,1,160,85,28.224999999999998
uniform,1,160,86,28.499999999999996
uniform,1,160,87,28.849999999999998
uniform,1,160,88,29.275
uniform,1,160,89,29.5
uniform,1,160,90,29.5
uniform,1,160,91,29.7
uniform,1,160,92,30.05
uniform,1,160,93,30.45
uniform,1,160,94,31.125
uniform,1,160,95,31.45
uniform,1,160,96,31.775
uniform,1,160,97,31.95
uniform,1,160,98,32.325
uniform,1,160,99,32.6
uniform,1,160,100,33.050000000000004
uniform,1,160,101,33.35
uniform,1,160,102,33.725
uniform,1,160,103,34.125
uniform,1,160,104,34.4
uniform,1,160,105,34.75
uniform,1,160,106,35.175
uniform,1,160,107,35.4
uniform,1,160,108,35.4
uniform,1,160,109,35.6
uniform,1,160,110,35.95
uniform,1,160,111,36.35
uniform,1,160,112,37.025
uniform,1,160,113,37.35
uniform,1,160,114,37.675000000000004
