level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,1000,384,5013000,0.5,3.0,0.0,1,500,0.02441944169998169,0.0009691905573731573,95.0,0.09318637274549096,False
env,val,beta_good_common,1000,384,5013000,0.5,4.0,0.0,1,500,0.024058478951454163,0.0009862317421036918,127.0,0.125250501002004,False
env,val,beta_good_common,1000,384,5013000,0.5,6.0,0.0,1,500,0.026252539992332458,0.00111663586193121,190.0,0.18837675350701402,False
env,val,beta_good_common,1000,384,5013000,0.5,3.0,2.0,1,500,0.02608337330818176,0.001001366231060486,83.612,0.08177555110220441,False
env,val,beta_good_common,1000,384,5013000,0.5,3.0,6.0,1,500,0.02916798794269562,0.0010626741521956235,64.694,0.0628196392785571,False
env,val,beta_good_common,1000,384,5013000,0.5,3.0,8.0,1,500,0.029842196941375732,0.0010618323876598567,57.018,0.05512825651302605,False
env,val,beta_good_common,1000,384,5013000,0.5,4.0,2.0,1,500,0.024292654395103454,0.0010138057164309961,111.108,0.10932665330661323,False
env,val,beta_good_common,1000,384,5013000,0.5,3.0,4.0,1,500,0.028510473847389223,0.001059244036159154,73.47,0.07161322645290583,False
env,val,beta_good_common,1000,384,5013000,0.5,4.0,4.0,1,500,0.02415084218978882,0.000969420772080075,97.44,0.0956312625250501,False
env,val,beta_good_common,1000,384,5013000,0.5,4.0,6.0,1,500,0.0257602459192276,0.001030873343990672,85.42,0.0835871743486974,False
env,val,beta_good_common,1000,384,5013000,0.5,4.0,8.0,1,500,0.027885350227355957,0.0010699179463500054,74.96,0.0731062124248497,False
env,val,beta_good_common,1000,384,5013000,0.5,6.0,2.0,1,500,0.025933944940567017,0.0010894905586241394,166.01,0.16433867735470942,False
env,val,beta_good_common,1000,384,5013000,0.5,8.0,0.0,1,500,0.02975113570690155,0.0013220951481699805,253.0,0.2515030060120241,False
env,val,beta_good_common,1000,384,5013000,0.75,1.0,0.0,1,500,0.02655264675617218,0.0010928318392632115,178.0,0.17635270541082168,False
env,val,beta_good_common,1000,384,5013000,0.5,6.0,4.0,1,500,0.02445809781551361,0.0010244329750520127,145.13,0.14341683366733468,False
env,val,beta_good_common,1000,384,5013000,0.5,6.0,6.0,1,500,0.023682197451591492,0.0010085930171679005,127.014,0.12526452905811622,False
env,val,beta_good_common,1000,384,5013000,0.5,6.0,8.0,1,500,0.02391437315940857,0.0009801022336159034,110.89,0.10910821643286574,False
env,val,beta_good_common,1000,384,5013000,0.5,8.0,2.0,1,500,0.02810040283203125,0.0012112526502276381,220.738,0.2191763527054108,False
env,val,beta_good_common,1000,384,5013000,0.5,8.0,8.0,1,500,0.024614282965660095,0.0010071301877610842,147.028,0.14531863727454908,False
env,val,beta_good_common,1000,384,5013000,0.5,8.0,6.0,1,500,0.02558426570892334,0.0010402621542236683,168.158,0.16649098196392786,False
env,val,beta_good_common,1000,384,5013000,0.75,1.0,2.0,1,500,0.025747382760047913,0.0010798188741525316,155.78,0.15408817635270544,False
env,val,beta_good_common,1000,384,5013000,0.5,8.0,4.0,1,500,0.02785069465637207,0.0011398429861259533,192.558,0.19093987975951904,False
env,val,beta_good_common,1000,384,5013000,0.75,1.0,4.0,1,500,0.023836705446243285,0.000967715620445642,136.256,0.13452505010020038,False
env,val,beta_good_common,1000,384,5013000,0.75,1.0,6.0,1,500,0.023277996301651,0.0009846689220672665,118.982,0.11721643286573147,False
env,val,beta_good_common,1000,384,5013000,0.75,1.5,0.0,1,500,0.029283809304237365,0.0012988653121025402,267.0,0.2655310621242486,False
env,val,beta_good_common,1000,384,5013000,0.75,1.0,8.0,1,500,0.023960651993751525,0.0009565535376207076,104.236,0.10244088176352706,False
env,val,beta_good_common,1000,384,5013000,0.75,1.5,2.0,1,500,0.02718132197856903,0.0011323124227068605,232.636,0.2310981963927856,False
env,val,beta_good_common,1000,384,5013000,0.75,1.5,4.0,1,500,0.02720408511161804,0.0011811834233145775,202.934,0.20133667334669336,False
env,val,beta_good_common,1000,384,5013000,0.75,2.0,0.0,1,500,0.031227795600891114,0.0013820292949085675,356.0,0.3547094188376753,False
env,val,beta_good_common,1000,384,5013000,0.75,1.5,6.0,1,500,0.02634820294380188,0.0011027595288238766,177.15,0.175501002004008,False
env,val,beta_good_common,1000,384,5013000,0.75,1.5,8.0,1,500,0.025475355625152588,0.0010590231361333375,154.97,0.1532765531062124,False
env,val,beta_good_common,1000,384,5013000,0.75,2.0,8.0,1,500,0.028247813820838928,0.0012147874469797379,204.872,0.2032785571142285,False
env,val,beta_good_common,1000,384,5013000,0.75,3.0,0.0,1,500,0.03180391240119934,0.001370475750697526,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,3.0,0.0,1,500,0.16263712739944458,0.004688292559794973,95.0,0.09318637274549096,False
env,val,beta_good_common,1000,384,5013000,0.75,2.0,2.0,1,500,0.030843568921089172,0.0014088837168433135,309.76,0.30837675350701405,False
env,val,beta_good_common,1000,384,5013000,0.75,2.0,4.0,1,500,0.02984532046318054,0.0013286492119770291,269.73,0.26826653306613224,False
env,val,beta_good_common,1000,384,5013000,0.75,2.0,6.0,1,500,0.028095814943313598,0.0011838993866182621,234.94,0.23340681362725452,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,4.0,0.0,1,500,0.15674072980880738,0.004687799078082345,127.0,0.125250501002004,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,3.0,2.0,1,500,0.15456530648469924,0.004810189830696411,173.088,0.1714308617234469,False
env,val,beta_good_common,1000,384,5013000,0.75,3.0,2.0,1,500,0.03180391240119934,0.001370475750697526,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,3.0,4.0,1,500,0.17162706439197065,0.005080195808769035,273.126,0.27166933867735477,False
env,val,beta_good_common,1000,384,5013000,0.75,3.0,4.0,1,500,0.03188807690143585,0.0013692052145562368,383.788,0.3825531062124248,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,6.0,0.0,1,500,0.15765063697099685,0.005004637151992763,190.0,0.18837675350701402,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,4.0,2.0,1,500,0.15127801689505577,0.004892745045700712,221.364,0.21980360721442888,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,3.0,8.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,3.0,6.0,1,500,0.15770491142570972,0.005215858096531876,376.978,0.3757294589178357,False
env,val,beta_good_common,1000,384,5013000,0.75,3.0,6.0,1,500,0.031240519881248475,0.0013811242116723232,350.43,0.34912825651302604,False
env,val,beta_good_common,1000,384,5013000,0.75,3.0,8.0,1,500,0.03166966700553894,0.0014043096637439247,305.204,0.30381162324649297,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,4.0,4.0,1,500,0.16023819714784623,0.005129651916330209,333.594,0.3322585170340681,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,4.0,6.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,4.0,8.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,8.0,0.0,1,500,0.16005715264379977,0.004894275180979175,253.0,0.2515030060120241,False
env,val,beta_rare_excellent,1000,384,5058000,0.75,1.0,0.0,1,500,0.15538872775435447,0.004843060721347627,178.0,0.17635270541082168,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,6.0,4.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,6.0,2.0,1,500,0.1663194597363472,0.005175430681264827,312.662,0.3112845691382765,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,6.0,6.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,6.0,8.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,8.0,4.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,8.0,2.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,8.0,6.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.5,8.0,8.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.75,1.5,0.0,1,500,0.17050275894999503,0.0051416773486910915,267.0,0.2655310621242486,False
env,val,beta_rare_excellent,1000,384,5058000,0.75,1.0,2.0,1,500,0.16621019512414933,0.005079385087799605,296.576,0.2951663326653307,False
env,val,beta_rare_excellent,1000,384,5058000,0.75,1.0,6.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
env,val,beta_rare_excellent,1000,384,5058000,0.75,1.0,4.0,1,500,0.16147132854163646,0.00522699597737386,384.0,0.38276553106212413,False
