level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,tune,beta_good_common,A,50,50,1002000,2,1,500,0.17522654390335082,0.005387968493551137,0.1614371090531349,0.013789434850215911,2.0,0.0,12,False
env,tune,beta_good_common,A,50,50,1002000,4,1,500,0.12243849962949753,0.004449222144757964,0.09825604617595672,0.0241824534535408,4.0,0.04166666666666666,12,False
env,tune,beta_good_common,A,50,50,1002000,8,1,500,0.09969270730018616,0.0038938602177424064,0.05826325106620789,0.04142945623397827,8.0,0.125,12,False
env,tune,beta_good_common,A,50,50,1002000,12,1,500,0.0897902455329895,0.0036575977561486756,0.03900453662872314,0.050785708904266355,12.0,0.20833333333333334,12,True
env,tune,beta_good_common,A,50,50,1002000,16,1,500,0.09510664713382722,0.0038927463353589046,0.027669660687446595,0.06743698644638062,16.0,0.2916666666666667,12,False
env,tune,beta_good_common,A,50,50,1002000,24,1,500,0.10937720167636872,0.00413068608412529,0.016305076599121095,0.09307212507724762,24.0,0.45833333333333326,12,False
env,tune,beta_good_common,A,50,50,1002000,32,1,500,0.12159323525428772,0.004365523593387541,0.008900303125381469,0.11269293212890626,32.0,0.625,12,False
env,tune,beta_good_common,A,50,50,1002000,48,1,500,0.1998090989291668,0.006309225744992325,0.0008675882816314697,0.19894151064753532,48.0,0.9583333333333335,12,False
env,tune,beta_good_common,A,100,100,1005000,2,1,500,0.18142687726020812,0.00539360401667921,0.17515542930364608,0.0062714479565620426,2.0,0.0,24,False
env,tune,beta_good_common,A,100,100,1005000,4,1,500,0.11804356819391251,0.0038308528915180417,0.10686392903327942,0.011179639160633087,4.0,0.02040816326530612,24,False
env,tune,beta_good_common,A,100,100,1005000,8,1,500,0.09040726232528687,0.003097232031307272,0.06703035008907318,0.023376912236213684,8.0,0.06122448979591836,24,False
env,tune,beta_good_common,A,100,100,1005000,12,1,500,0.07663916110992432,0.002774664798838645,0.050050888895988466,0.02658827221393585,12.0,0.1020408163265306,24,False
env,tune,beta_good_common,A,100,100,1005000,16,1,500,0.07526225042343139,0.0027371503833096113,0.041496760487556454,0.033765489935874936,16.0,0.1428571428571428,24,False
env,tune,beta_good_common,A,100,100,1005000,24,1,500,0.07346338427066804,0.002915856638133534,0.02778947377204895,0.04567391049861908,24.0,0.22448979591836735,24,True
env,tune,beta_good_common,A,100,100,1005000,32,1,500,0.07692121136188507,0.0032000085611031117,0.020359817028045655,0.056561394333839415,32.0,0.3061224489795919,24,False
